fold,cell,n_atr,chi,u_enter,rho_base,lam,sharpe,max_drawdown,turnover,total_return,n_trades,psr,halted,on_front,feasible,selected,config_hash
0,40,14,1.5,0.25,0.0025,0.94,-85.3294049917718,0.1201253986390336,8577.098502430244,-0.11963983891429253,357.0,0.0,1.0,0,0,0,64f2d5e4b6c2c2af640de09e1cc4c33ecfca9a3356cbd4788aebea0480b5a5f4
0,41,14,1.5,0.25,0.0025,0.97,-90.93951785758401,0.12024219339589515,8577.904474033898,-0.11980765208033095,414.0,0.0,1.0,0,0,0,a9feeaa2212e3cb079c7da613e52afe67e55e8b6387be41a2126ee04be6a6ee4
0,42,14,1.5,0.25,0.005,0.94,-85.3294049917718,0.1201253986390336,8577.098502430244,-0.11963983891429253,357.0,0.0,1.0,0,0,0,9b422134be3f388ff4274629ccd7ad5d42f177c4cbb6cdd908240f9265dc1eae
0,43,14,1.5,0.25,0.005,0.97,-90.93951785758401,0.12024219339589515,8577.904474033898,-0.11980765208033095,414.0,0.0,1.0,0,0,0,370c6338fc814d14a6abbcdb69ac74bf1c6b88e447220cbac867edd015b5068a
0,44,14,1.5,0.3,0.0025,0.94,-86.29171394334799,0.11975746806942145,8478.02390689536,-0.11965117255826352,353.0,0.0,0.0,0,0,0,b1d0bedde348f6e3032d7ed62bcc6fb8b5ca8cf948bae513d2afa05f9a08fdd9
0,45,14,1.5,0.3,0.0025,0.97,-86.38906373848178,0.1126193208406654,7943.885260167948,-0.11251763026193717,353.0,0.0,0.0,0,0,0,89b97c4ab4667518b6627b4e342f9c49c33df67d6200bc71a9f5b6b5d63f824c
0,46,14,1.5,0.3,0.005,0.94,-86.29171394334799,0.11975746806942145,8478.02390689536,-0.11965117255826352,353.0,0.0,0.0,0,0,0,4d14612f5e7bfd9628387604756d674b1765ffac87e69c911beac537d7f48877
0,47,14,1.5,0.3,0.005,0.97,-86.38906373848178,0.1126193208406654,7943.885260167948,-0.11251763026193717,353.0,0.0,0.0,0,0,0,1699fbd2ab1c47f770b7bb9a95d34aff1fe186a6205aaa5375ab066a30e73afa
0,48,14,2.0,0.2,0.0025,0.94,-84.9816279278496,0.12015526604928406,8866.55895803936,-0.1196697228069048,393.0,0.0,1.0,0,0,0,0318301a440e623ea74ad711b2186f2d2561584bc86fd42ffa8f288500e3e538
0,49,14,2.0,0.2,0.0025,0.97,-88.89073994324345,0.12011713863546758,8880.516409271431,-0.1196825355512443,424.0,0.0,1.0,0,0,0,2651188eb7c57746f557c303c2807545ba274422df64e81b8fd11124b66b57cc
