fold,cell,n_atr,chi,u_enter,rho_base,lam,sharpe,max_drawdown,turnover,total_return,n_trades,psr,halted,on_front,feasible,selected,config_hash
0,50,14,2.0,0.2,0.005,0.94,-94.30646903265122,0.12016372318727175,8438.946390766052,-0.12016372318727175,323.0,0.0,1.0,0,0,0,ccd45e5034a234b1cf11a1aa4c8ba454524ef4ac4834bbe45f9624769f6c05af
0,51,14,2.0,0.2,0.005,0.97,-91.96714765387827,0.12013002814981721,8452.904883384072,-0.12013002814981721,328.0,0.0,1.0,0,0,0,65f4ba354b0db7b318e945acb8f586a6ba0f88a28ee22923f4620c0753010a3b
0,52,14,2.0,0.25,0.0025,0.94,-86.2775892492597,0.10604619974617979,7514.40099539037,-0.10603844974617982,244.0,0.0,0.0,0,0,0,2f68565189c8ba5b8968882b5e697788e9f432581b6e975195764af6ae838e7b
0,53,14,2.0,0.25,0.0025,0.97,-84.96380768704952,0.10664307877017987,7565.948650297752,-0.10663482877017982,244.0,0.0,0.0,0,0,0,134e9d322aebb35702dee0433c5b2e36ce9b6c91382e74d808e61ad51f994db0
0,54,14,2.0,0.25,0.005,0.94,-85.66765614920659,0.10641938736217982,7563.637687598044,-0.10641163736217985,244.0,0.0,0.0,0,0,0,52c93408be3a2e9c2e811deaa62bb3db69297ee560d6cb6ad684baa5c39db33f
0,55,14,2.0,0.25,0.005,0.97,-83.48787018190956,0.10748716447417972,7645.346695171708,-0.1074789144741799,244.0,0.0,0.0,0,0,0,975a77cfc7ccbc9d7f7511011cf258cfc1afbfd7b97380a9edf68dcce9820f40
0,56,14,2.0,0.3,0.0025,0.94,-53.60226936572309,0.0546360104827015,3773.2360107100467,-0.054347390592,95.0,0.0,0.0,0,0,0,9b31282215021f1c4e259b00bb6bad12a680cef651da1713a1971b2bca424f97
0,57,14,2.0,0.3,0.0025,0.97,-53.631114352083635,0.05506106091967433,3813.5628861593377,-0.05474202478400003,95.0,0.0,0.0,0,0,0,859771f94f44bad50f13b58beb8039140b13f8041e6dfc83fb8096e38dfbd6d6
0,58,14,2.0,0.3,0.005,0.94,-53.52543875483612,0.0546643929615227,3777.9555779307975,-0.054375781735999995,95.0,0.0,0.0,0,0,0,666e056e0bcc54fa61dbf4cca3bd3969d9049c42d42e94faedf6bee5d3b272f9
0,59,14,2.0,0.3,0.005,0.97,-53.33233044896523,0.05514243061113522,3827.386441878761,-0.05482342194800005,95.0,0.0,0.0,0,0,0,62bc02d67a61ff57e9c372a379699bcad7e3270974ec4eb7bfd16932f1cb6cc4
0,60,14,2.5,0.2,0.0025,0.94,-102.05736130471796,0.12000938263963568,8373.90260714195,-0.12000938263963568,410.0,0.0,1.0,0,0,0,5d27d7b470efdc441430482fd3371fff5a1f4bf3c973f8770b7c21f338be6ccd
0,61,14,2.5,0.2,0.0025,0.97,-102.2200926894181,0.12008337751163567,8401.062546622255,-0.12008337751163567,432.0,0.0,1.0,0,0,0,48f0922159e1aeea021040d7bcc457ad193ccf7f50e7c608f44b6e961815fb02
0,62,14,2.5,0.2,0.005,0.94,-94.86560084519148,0.12036074646327177,8404.71744932473,-0.12036074646327177,321.0,0.0,1.0,0,0,0,4780eb48b7cd6fc21ec9912ab31830067ac9f74259e3ebe0d259c6f35c178e8b
0,63,14,2.5,0.2,0.005,0.97,-92.68343748869037,0.12009979704181717,8409.466675520955,-0.12009979704181717,325.0,0.0,1.0,0,0,0,126c94431ceb85a70e8705e2a6089943ebf9e3a446db45a71494101b21347911
0,64,14,2.5,0.25,0.0025,0.94,-86.78259419177738,0.10357078390181673,7329.267035691281,-0.10356353390181672,241.0,0.0,0.0,0,0,0,8360f350a2b3ce4f0e7b0b19f95806dd65923ccb7eef87e37a185877c3e90995
0,65,14,2.5,0.25,0.0025,0.97,-86.1837155362244,0.10395199875781658,7359.07320661828,-0.10394474875781656,241.0,0.0,0.0,0,0,0,18dfd8adbb6e4891ced50bc6bafb534ce4d35c312f7d4e65c4836567150cda58
0,66,14,2.5,0.25,0.005,0.94,-85.76380639177826,0.10599145872617977,7523.422183343573,-0.10598370872617979,241.0,0.0,0.0,0,0,0,ba31250be3527e19bae11d04cf10885d468c11558593ba223fa0b7d65724050f
0,67,14,2.5,0.25,0.005,0.97,-83.37165663578746,0.10692503169672529,7599.655433031796,-0.10691678169672525,241.0,0.0,0.0,0,0,0,52216b34960284877e5ea2725a60ad4bc4b30d93f308469cd923c48a1c7f8bfb
0,68,14,2.5,0.3,0.0025,0.94,-54.37424486309773,0.05408131421562701,3701.300833545516,-0.053792524975999956,94.0,0.0,0.0,0,0,0,d802abf110752bc957099351b466f5b211b297caad0f0fc8f5fa01fb70291fe3
0,69,14,2.5,0.3,0.0025,0.97,-54.51399530149265,0.054427672535754756,3734.8741932131416,-0.05411181882799987,94.0,0.0,0.0,0,0,0,f9d7a382680fe5eda354a8929a3e9606f9fc567762c7fbf5ea813f5fd58c85cf
0,70,14,2.5,0.3,0.005,0.94,-53.856276112220705,0.05422817481904374,3731.8832880616646,-0.05393943041599991,94.0,0.0,0.0,0,0,0,888120026f2e66b8a1cb9a036b13392456cb782cd2145e684c03995373e4839c
0,71,14,2.5,0.3,0.005,0.97,-53.66517669091507,0.05468574402848703,3780.9424957320116,-0.05436658117600002,94.0,0.0,0.0,0,0,0,f5d383f4339111af25b5013d5a4207aca9c289c3426176f9c98046dd00158149
0,72,21,1.5,0.2,0.0025,0.94,-94.80341048812069,0.1201010143792719,8425.567404540738,-0.1201010143792719,339.0,0.0,1.0,0,0,0,2beb409be394338660aab45e4b7a79250a405fc8c663fa0fd642a1b1014ec8b7
0,73,21,1.5,0.2,0.0025,0.97,-91.48449063709771,0.1201454580992719,8475.153610740634,-0.1201454580992719,338.0,0.0,1.0,0,0,0,f5c611a3499fbb255c6afe869a2dc53d503c51bdf5a868e18b370384216478ab
0,74,21,1.5,0.2,0.005,0.94,-94.35438256729354,0.12014766653927178,8387.545989157792,-0.12014766653927178,334.0,0.0,1.0,0,0,0,e5eb9b9b87a4f707905fc8a7e54e3f3510983369c0037007fdf1be80cded48f1
0,75,21,1.5,0.2,0.005,0.97,-91.22232284074003,0.12018546205927183,8455.272769015877,-0.12018546205927183,335.0,0.0,1.0,0,0,0,f80316157f883729e784f3b76895d89d26630f9f5bf7a855b0e6d0bbee7554b6
0,76,21,1.5,0.25,0.0025,0.94,-85.38038936065811,0.10793556713563446,7627.7056662408195,-0.10792781713563437,258.0,0.0,0.0,0,0,0,900b01b0a399e1ac87fefdfd5d61605f0a57827dae6ed25aad6b68cd66918cbf
0,77,21,1.5,0.25,0.0025,0.97,-84.29373169190809,0.10840917917017978,7653.224850515755,-0.10840092917017974,258.0,0.0,0.0,0,0,0,eb1c205328585b285c9dbc71c203b0c14911d314b0d78f47c0031cd67c5c4033
0,78,21,1.5,0.25,0.005,0.94,-85.38162487428207,0.10801478413563437,7631.371343181645,-0.1080070341356344,258.0,0.0,0.0,0,0,0,53ec33700cf5d76a8e90fd394d4174b5f4e58794a9a2b0cf626f1d9fde434162
0,79,21,1.5,0.25,0.005,0.97,-84.21404788012012,0.10836057725017978,7647.002659579634,-0.10835232725017974,258.0,0.0,0.0,0,0,0,6097ba92c4c54aa5830f25e75c3ad7dff6aabd4cada19e9be275e75c19b4af3f
0,80,21,1.5,0.3,0.0025,0.94,-51.96872975752225,0.05052511823125694,3547.122745057247,-0.050235243283999975,91.0,0.0,0.0,0,0,0,09105342b7b0eb1a24df43e17350aafbd4bb344b0e5d22ec067ddb9f27e50680
0,81,21,1.5,0.3,0.0025,0.97,-51.8808361258788,0.050017258643430096,3520.45179985115,-0.04969651958800003,91.0,0.0,0.0,0,0,0,0c7bed51f9c2a0827cf97d4ef2a2bb6ab046a1f1761732f0b08d86e6a040365c
0,82,21,1.5,0.3,0.005,0.94,-51.96872975752225,0.05052511823125694,3547.122745057247,-0.050235243283999975,91.0,0.0,0.0,0,0,0,b91e127dd7075908e7d878c3d3b6dae068fe411ec69f038fd566bf41fd950ca7
0,83,21,1.5,0.3,0.005,0.97,-51.8808361258788,0.050017258643430096,3520.45179985115,-0.04969651958800003,91.0,0.0,0.0,0,0,0,0728eb6fbc09d1250707caae8d831a77d3e17b329ac67f1812fc0aef02752bf9
0,84,21,2.0,0.2,0.0025,0.94,-98.12722722945225,0.12006782977374864,8506.913981703881,-0.12006782977374864,380.0,0.0,1.0,0,0,0,6810b98f38a9d86f6064bbf7a6f9ed285a536ce9128ade07e5b758f0af2d7c24
